-,,,
Kennedy Town,堅尼地城,1,0
HKU,香港大學,1,22
Sai Ying Pun,西營盤,1,0
Sheung Wan,上環,1,0
Central,中環,1,1
Admiralty,金鐘,1,2
Wan Chai,灣仔,1,0
Causeway Bay,銅鑼灣,1,0
Tin Hau,天后,1,0
Fortress Hill,炮台山,1,0
North Point,北角,1,3
Quarry Bay,鰂魚涌,1,4
Tai Koo,太古,1,0
Sai Wan Ho,西灣河,1,0
Shau Kei Wan,筲箕灣,1,0
Heng Fa Chuen,杏花邨,1,0
Chai Wan,柴灣,1,0
Central,中環,2,1
Admiralty,金鐘,2,2
Tsim Sha Tsui,尖沙咀,2,0
Jordan,佐敦,2,0
Yau Ma Tei,油麻地,2,5
Mong Kok,旺角,2,6
Prince Edward,太子,2,7
Sham Shui Po,深水埗,2,0
Cheung Sha Wan,長沙灣,2,0
Lai Chi Kok,荔枝角,2,0
Mei Foo,美孚,2,8
Lai King,荔景,2,9
Kwai Fong,葵芳,2,0
Kwai Hing,葵興,2,0
Tai Wo Hau,大窩口,2,0
Tsuen Wan,荃灣,2,0
Whampoa,黃埔,3,0
Ho Man Tin,何文田,3,10
Yau Ma Tei,油麻地,3,5
Mong Kok,旺角,3,6
Prince Edward,太子,3,7
Shek Kip Mei,石硤尾,3,0
Kowloon Tong,九龍塘,3,11
Lok Fu,樂富,3,0
Wong Tai Sin,黃大仙,3,0
Diamond Hill,鑽石山,3,12
Choi Hung,彩虹,3,0
Kowloon Bay,九龍灣,3,0
Ngau Tau Kok,牛頭角,3,0
Kwun Tong,觀塘,3,0
Lam Tin,藍田,3,0
Yau Tong,油塘,3,13
Tiu Keng Leng,調景嶺,3,14
Tamar,添馬,4,24
Exhitbition Centre,會展,4,25
Causeway Bay North,銅鑼灣北,4,0
North Point,北角,4,3
Quarry Bay,鰂魚涌,4,4
Yau Tong,油塘,4,13
Tiu Keng Leng,調景嶺,4,14
Tseung Kwan O,將軍澳,4,0
Hang Hau,坑口,4,0
Po Lam,寶琳,4,0
LOHAS Park,康城,4,0
Admiralty,金鐘,5,2
Exhibition Centre,會展,5,25
Hung Hom,紅磡,5,15
Mong Kok East,旺角東,5,0
Kowloon Tong,九龍塘,5,11
Tai Wai,大圍,5,16
Sha Tin,沙田,5,0
Fo Tan,火炭,5,0
Racecourse,馬場,5,0
University,大學,5,0
Tai Po Market,大埔墟,5,0
Tai Wo,太和,5,0
Fanling,粉嶺,5,0
Sheung Shui,上水,5,0
Lo Wu,羅湖,5,0
Lok Ma Chau,落馬洲,5,0
Tung Chung,東涌,6,0
Sunny Bay,欣澳,6,17
Tsing Yi,青衣,6,18
Lai King,荔景,6,9
Nam Cheong,南昌,6,19
Olympic,奧運,6,0
Kowloon,九龍,6,20
Hong Kong,香港,6,21
AsiaWorld-Expo,博覽館,7,0
Airport,機場,7,0
Tsing Yi,青衣,7,18
Kowloon,九龍,7,20
Hong Kong,香港,7,21
Tuen Mun,屯門,8,0
Siu Hong,兆康,8,0
Tin Shui Wai,天水圍,8,0
Long Ping,朗屏,8,0
Yuen Long,元朗,8,0
Kam Sheung Road,錦上路,8,0
Tsuen Wan West,荃灣西,8,0
Mei Foo,美孚,8,8
Nam Cheong,南昌,8,19
Austin,柯士甸,8,0
East Tsim Sha Tsui,尖東,8,0
Hung Hom,紅磡,8,15
Ho Man Tin,何文田,8,10
To Kwa Wan,土瓜灣,8,0
Sung Wong Toi,宋皇臺,8,0
Kai Tak,啟德,8,0
Diamond Hill,鑽石山,8,12
Hin Keng,顯徑,8,0
Tai Wai,大圍,8,16
Che Kung Temple,車公廟,8,0
Sha Tin Wai,沙田圍,8,0
City One,第一城,8,0
Shek Mun,石門,8,0
Tai Shui Hang,大水坑,8,0
Heng On,恆安,8,0
Ma On Shan,馬鞍山,8,0
Wu Kai Sha,烏溪沙,8,0
Sunny Bay,欣澳,9,17
Disneyland Resort,迪士尼,9,0
South Horizons,海怡半島,10,0
Lei Tung,利東,10,0
Wong Chuk Hang,黃竹坑,10,23
Ocean Park,海洋公園,10,0
Admiralty,金鐘,10,2
HKU,香港大學,11,22
Queen Mary Hospital,瑪麗醫院,11,0
Cyberport,數碼港,11,0
Wah Fu,華富,11,0
Tin Wan,田灣,11,0
Aberdeen,香港仔,11,0
Wong Chuk Hang,黃竹坑,11,23
